序号,刊名,ISSN,分区
1,IEEE Communications Surveys and Tutorialsreview,1553-877X,1区
2,Science Robotics,2470-9476,1区
3,IEEE Transactions on Cybernetics,2168-2267,1区
4,Nature Machine Intelligence,2522-5839,1区
5,ACM COMPUTING SURVEYS,0360-0300,1区
6,Information Fusion,1566-2535,1区
7,IEEE TRANSACTIONS ON EVOLUTIONARY COMPUTATION,1089-778X,1区
8,ROBOTICS AND COMPUTER-INTEGRATED MANUFACTURING,0736-5845,1区
9,IEEE TRANSACTIONS ON PATTERN ANALYSIS AND MACHINE INTELLIGENCE,0162-8828,1区
10,IEEE TRANSACTIONS ON SOFTWARE ENGINEERING,0098-5589,1区
11,IEEE Transactions on Neural Networks and Learning Systems,2162-237X,1区
12,Annual Review of Control Robotics and Autonomous Systemsreview,2573-5144,1区
13,IEEE Transactions on Systems Man Cybernetics-Systems,2168-2216,1区
14,IEEE Transactions on Industrial Informatics,1551-3203,1区
15,IEEE TRANSACTIONS ON INDUSTRIAL ELECTRONICS,0278-0046,1区
16,IEEE JOURNAL ON SELECTED AREAS IN COMMUNICATIONS,0733-8716,1区
17,PROCEEDINGS OF THE IEEE,0018-9219,1区
18,Computer Science Reviewreview,1574-0137,1区
19,IEEE TRANSACTIONS ON IMAGE PROCESSING,1057-7149,1区
20,IEEE TRANSACTIONS ON FUZZY SYSTEMS,1063-6706,1区
21,IEEE Transactions on Robotics,1552-3098,1区
22,IEEE TRANSACTIONS ON MULTIMEDIA,1520-9210,1区
23,IEEE Internet of Things Journal,2327-4662,1区
24,INFORMATION PROCESSING & MANAGEMENT,0306-4573,1区
25,PATTERN RECOGNITION,0031-3203,1区
26,Journal of Industrial Information Integration,2467-964X,1区
27,ACM TRANSACTIONS ON GRAPHICS,0730-0301,1区
28,INFORMATION SCIENCES,0020-0255,1区
29,EXPERT SYSTEMS WITH APPLICATIONS,0957-4174,1区
30,IEEE Transactions on Information Forensics and Security,1556-6013,1区
31,IEEE WIRELESS COMMUNICATIONS,1536-1284,1区
32,Swarm and Evolutionary Computation,2210-6502,1区
33,COMPUTERS IN INDUSTRY,0166-3615,1区
34,NEURAL NETWORKS,0893-6080,1区
35,KNOWLEDGE-BASED SYSTEMS,0950-7051,1区
36,Journal of Optical Communications and Networking,1943-0620,1区
37,IEEE TRANSACTIONS ON WIRELESS COMMUNICATIONS,1536-1276,1区
38,IEEE Transactions on Automation Science and Engineering,1545-5955,1区
39,IEEE TRANSACTIONS ON BROADCASTING,0018-9316,1区
40,Human-centric Computing and Information Sciences,2192-1962,1区
41,IEEE-CAA Journal of Automatica Sinica,2329-9266,1区
42,IEEE TRANSACTIONS ON VISUALIZATION AND COMPUTER GRAPHICS,1077-2626,1区
43,IEEE Computational Intelligence Magazine,1556-603X,1区
44,DECISION SUPPORT SYSTEMS,0167-9236,1区
45,IEEE COMMUNICATIONS MAGAZINE,0163-6804,1区
46,ACM TRANSACTIONS ON SOFTWARE ENGINEERING AND METHODOLOGY,1049-331X,1区
47,Soft Robotics,2169-5172,1区
48,Foundations and Trends in Information Retrievalreview,1554-0669,2区
49,APPLIED SOFT COMPUTING,1568-4946,2区
50,IEEE TRANSACTIONS ON ANTENNAS AND PROPAGATION,0018-926X,2区
51,IEEE TRANSACTIONS ON KNOWLEDGE AND DATA ENGINEERING,1041-4347,2区
52,IEEE Vehicular Technology Magazine,1556-6072,2区
53,ARTIFICIAL INTELLIGENCE REVIEWreview,0269-2821,2区
54,IEEE TRANSACTIONS ON AUTOMATIC CONTROL,0018-9286,2区
55,IEEE Transactions on Cognitive Communications and Networking,2332-7731,2区
56,IEEE Transactions on Dependable and Secure Computing,1545-5971,2区
57,IEEE TRANSACTIONS ON COMMUNICATIONS,0090-6778,2区
58,INTERNATIONAL JOURNAL OF ROBOTICS RESEARCH,0278-3649,2区
59,ACM TRANSACTIONS ON INFORMATION SYSTEMS,1046-8188,2区
60,INTEGRATED COMPUTER-AIDED ENGINEERING,1069-2509,2区
61,IEEE-ACM Transactions on Audio Speech and Language Processing,2329-9290,2区
62,AUTOMATICA,0005-1098,2区
63,ANNUAL REVIEWS IN CONTROLreview,1367-5788,2区
64,International Journal of Neural Systems,0129-0657,2区
65,Journal of Field Robotics,1556-4959,2区
66,ACM TRANSACTIONS ON COMPUTER SYSTEMS,0734-2071,2区
67,ENGINEERING APPLICATIONS OF ARTIFICIAL INTELLIGENCE,0952-1976,2区
68,Nonlinear Analysis-Hybrid Systems,1751-570X,2区
69,JOURNAL OF NETWORK AND COMPUTER APPLICATIONS,1084-8045,2区
70,Future Generation Computer Systems-The International Journal of eScience,0167-739X,2区
71,IEEE Transactions on Services Computing,1939-1374,2区
72,INTERNATIONAL JOURNAL OF HUMAN-COMPUTER STUDIES,1071-5819,2区
73,IEEE NETWORK,0890-8044,2区
74,JOURNAL OF THE ACM,0004-5411,2区
75,EMPIRICAL SOFTWARE ENGINEERING,1382-3256,2区
76,INTERNATIONAL JOURNAL OF COMPUTER VISION,0920-5691,2区
77,IEEE TRANSACTIONS ON MOBILE COMPUTING,1536-1233,2区
78,ARTIFICIAL INTELLIGENCE,0004-3702,2区
79,JOURNAL OF SYSTEMS ARCHITECTURE,1383-7621,2区
80,IEEE TRANSACTIONS ON RELIABILITY,0018-9529,2区
81,INFORMATION AND SOFTWARE TECHNOLOGY,0950-5849,2区
82,JOURNAL OF FUNCTIONAL PROGRAMMING,0956-7968,2区
83,IEEE TRANSACTIONS ON CONTROL SYSTEMS TECHNOLOGY,1063-6536,2区
84,INTERNATIONAL JOURNAL OF INTELLIGENT SYSTEMS,0884-8173,2区
85,IEEE TRANSACTIONS ON PARALLEL AND DISTRIBUTED SYSTEMS,1045-9219,2区
86,ACM TRANSACTIONS ON PROGRAMMING LANGUAGES AND SYSTEMS,0164-0925,2区
87,ISA TRANSACTIONS,0019-0578,2区
88,Journal of Statistical Software,1548-7660,2区
89,IEEE TRANSACTIONS ON VEHICULAR TECHNOLOGY,0018-9545,2区
90,IEEE ROBOTICS & AUTOMATION MAGAZINE,1070-9932,2区
91,IEEE Transactions on Cloud Computing,2168-7161,2区
92,NEUROCOMPUTING,0925-2312,2区
93,IEEE Transactions on Emerging Topics in Computing,2168-6750,2区
94,IEEE TRANSACTIONS ON CONSUMER ELECTRONICS,0098-3063,2区
95,IEEE Transactions on Emerging Topics in Computational Intelligence,2471-285X,2区
96,JOURNAL OF SYSTEMS AND SOFTWARE,0164-1212,2区
97,VLDB JOURNAL,1066-8888,2区
98,IEEE Transactions on Affective Computing,1949-3045,2区
99,Complex & Intelligent Systems,2199-4536,2区
100,CAAI Transactions on Intelligence Technology,2468-6557,2区
101,IEEE Robotics and Automation Letters,2377-3766,2区
102,COMPUTER STANDARDS & INTERFACES,0920-5489,2区
103,Ad Hoc Networks,1570-8705,2区
104,IEEE TRANSACTIONS ON AEROSPACE AND ELECTRONIC SYSTEMS,0018-9251,2区
105,Vehicular Communications,2214-2096,2区
106,Wiley Interdisciplinary Reviews-Data Mining and Knowledge Discoveryreview,1942-4787,2区
107,Progress in Electromagnetics Research-PIER,1070-4698,2区
108,IEEE Antennas and Wireless Propagation Letters,1536-1225,2区
109,Journal of Big Data,2196-1115,2区
110,IEEE TRANSACTIONS ON COMPUTERS,0018-9340,2区
111,IEEE Transactions on Network and Service Management,1932-4537,2区
112,IEEE Transactions on Computational Imaging,2573-0436,2区
113,JOURNAL OF PROCESS CONTROL,0959-1524,2区
114,Journal of Artificial Intelligence and Soft Computing Research,2083-2567,2区
115,INFORMATION SYSTEMS,0306-4379,2区
116,Fuzzy Optimization and Decision Making,1568-4539,2区
117,REQUIREMENTS ENGINEERING,0947-3602,2区
118,COMPUTER-AIDED DESIGN,0010-4485,2区
119,International Journal of Interactive Multimedia and Artificial Intelligence,1989-1660,2区
120,APPLIED INTELLIGENCE,0924-669X,2区
121,Journal of Grid Computing,1570-7873,2区
122,CONTROL ENGINEERING PRACTICE,0967-0661,2区
123,SIMULATION MODELLING PRACTICE AND THEORY,1569-190X,2区
124,IEEE-ACM TRANSACTIONS ON NETWORKING,1063-6692,2区
125,Artificial Intelligence and Law,0924-8463,2区
126,IEEE Systems Journal,1932-8184,2区
127,IEEE Transactions on Big Data,2332-7790,2区
128,IEEE Transactions on Signal and Information Processing over Networks,2373-776X,2区
129,Journal of King Saud University-Computer and Information Sciences,1319-1578,2区
130,IEEE Wireless Communications Letters,2162-2337,2区
131,IEEE TRANSACTIONS ON INFORMATION THEORY,0018-9448,2区
132,INTERNATIONAL JOURNAL OF APPROXIMATE REASONING,0888-613X,2区
133,IEEE Transactions on Sustainable Computing,2377-3782,2区
134,TSINGHUA SCIENCE AND TECHNOLOGY,1007-0214,2区
135,IEEE Transactions on Computational Social Systems,2329-924X,2区
136,JOURNAL OF PARALLEL AND DISTRIBUTED COMPUTING,0743-7315,2区
137,Journal of Web Semantics,1570-8268,2区
138,JOURNAL OF AUTOMATED REASONING,0168-7433,2区
139,Cognitive Computation,1866-9956,2区
140,SIAM JOURNAL ON COMPUTING,0097-5397,2区
141,Proceedings of the VLDB Endowment,2150-8097,2区
142,Science China-Information Sciences,1674-733X,2区
143,Digital Communications and Networks,2468-5925,2区
144,Computational Visual Media,2096-0433,2区
145,IEEE Transactions on Network Science and Engineering,2327-4697,3区
146,NEURAL COMPUTING & APPLICATIONS,0941-0643,3区
147,REAL-TIME SYSTEMS,0922-6443,3区
148,COMPUTERS & SECURITY,0167-4048,3区
149,IEEE Transactions on Green Communications and Networking,2473-2400,3区
150,Computer Networks,1389-1286,3区
151,COMPUTER SPEECH AND LANGUAGE,0885-2308,3区
152,EPJ Data Science,2193-1127,3区
153,MECHATRONICS,0957-4158,3区
154,PATTERN RECOGNITION LETTERS,0167-8655,3区
155,Journal of Information Security and Applications,2214-2126,3区
156,ACM Transactions on Computer-Human Interaction,1073-0516,3区
157,IMAGE AND VISION COMPUTING,0262-8856,3区
158,AEU-INTERNATIONAL JOURNAL OF ELECTRONICS AND COMMUNICATIONS,1434-8411,3区
159,AUTONOMOUS ROBOTS,0929-5593,3区
160,IEEE Transactions on Human-Machine Systems,2168-2291,3区
161,Software and Systems Modeling,1619-1366,3区
162,MACHINE LEARNING,0885-6125,3区
163,SPEECH COMMUNICATION,0167-6393,3区
164,Nano Communication Networks,1878-7789,3区
